,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
72,0.6,.606,1.0,1.8,0.322,5.6,0.845,1.5,12.1,23,0.2,1.1,-3.0,-1.8,1.7,10.1,0.1,2.4,0.366,6.7,0.5,0.889,0.6,0.085,32,8,18.3,-1.2,0.3,1.7,0.4,10.6,1.7,7.2,Armoni Brooks,SG,68.0,0.6,1.6,0.5,7.1,2.0,5.9,0.521,HOU,17.3,-0.1,0.5,.042,0.502
73,5.6,.470,11.8,1.7,0.327,5.1,0.3,2.9,15.8,26,0.2,0.6,-1.2,-0.8,2.6,9.8,0.5,7.2,0.427,16.9,3.2,0.889,3.6,0.214,20,19,29.0,-0.4,0.8,2.9,0.6,16.3,3.4,19.3,Dillon Brooks,SF,69.0,1.3,2.2,1.9,9.1,3.4,6.2,0.522,MEM,29.2,0.1,1.1,.092,0.476
74,2.7,.513,5.2,0.3,0.31,1.0,0.16,1.3,8.0,25,0.5,2.0,-1.0,1.7,3.2,14.1,1.0,3.0,0.481,6.2,0.6,0.75,0.8,0.133,29,17,22.9,-2.8,1.3,6.5,0.5,12.2,2.8,6.9,Bruce Brown,SF,70.0,1.3,2.7,0.7,9.5,4.5,10.5,0.525,BRK,13.8,0.2,1.5,.107,0.506
79,0.7,.455,1.6,0.0,0.0,0.4,0.185,0.4,10.3,20,0.3,5.3,-8.0,-1.5,0.9,20.4,0.1,0.7,0.37,1.9,0.3,0.364,0.8,0.407,14,0,5.1,-6.5,0.5,10.6,-0.2,8.3,0.7,1.7,Greg Brown III,SF,73.0,0.1,1.4,0.4,13.6,1.4,15.4,0.377,POR,22.3,-0.1,-0.1,-0.079,0.37
80,5.9,.521,11.4,2.8,0.361,7.8,0.406,2.6,13.6,25,0.5,1.4,1.7,-0.4,5.3,16.8,1.0,8.7,0.456,19.1,4.0,0.773,5.1,0.268,25,25,34.4,2.1,0.8,2.5,0.4,18.1,2.7,24.2,Jaylen Brown,SF,74.0,1.2,1.7,3.2,13.0,6.1,9.5,0.566,BOS,31.3,0.7,1.4,.079,0.529
81,1.2,.605,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.3,4.3,-3.0,-0.3,1.7,28.2,0.3,1.2,0.605,2.0,1.2,0.659,1.9,0.953,22,1,6.7,-2.7,0.6,10.2,0.3,18.9,1.2,3.6,Moses Brown,C,75.0,0.1,1.0,0.5,15.3,2.3,19.0,0.647,DAL,21.8,0.0,0.5,.175,0.605
82,0.6,.500,1.3,0.8,0.357,2.3,0.648,1.0,9.1,26,0.1,0.8,-1.5,0.5,3.1,22.9,0.6,1.5,0.407,3.6,0.3,0.9,0.3,0.093,30,3,15.1,-2.0,0.7,4.8,0.2,10.2,1.2,4.1,Sterling Brown,SG,76.0,0.4,1.3,0.7,15.1,3.7,13.6,0.543,DAL,13.1,0.1,0.8,.082,0.523
83,1.1,.500,2.3,0.5,0.282,1.6,0.419,1.2,11.3,22,0.1,0.5,-1.2,0.5,2.3,17.9,0.4,1.6,0.409,3.9,0.5,0.75,0.7,0.172,24,1,14.3,-1.8,0.4,3.2,0.2,11.1,0.8,4.1,Troy Brown Jr.,SF,77.0,0.5,1.7,0.3,6.5,2.8,10.6,0.495,CHI,13.7,0.1,0.6,.087,0.468
84,5.3,.540,9.8,1.1,0.336,3.2,0.248,5.5,29.8,25,0.1,0.2,1.3,-0.2,3.1,11.2,1.1,6.4,0.49,13.0,2.2,0.776,2.9,0.223,37,19,30.9,1.5,0.6,2.0,2.3,17.9,1.9,16.0,Jalen Brunson,PG,78.0,0.8,1.4,1.7,10.5,3.6,6.5,0.563,DAL,23.1,1.0,3.4,.141,0.531
86,0.9,.560,1.6,1.4,0.302,4.5,0.735,1.0,5.7,30,0.2,0.6,-3.7,-0.3,2.5,11.7,0.7,2.3,0.37,6.1,0.4,0.765,0.5,0.09,31,12,24.5,-3.4,0.2,1.0,-0.1,6.5,1.4,6.3,Reggie Bullock,SF,80.0,0.4,0.9,0.5,8.0,2.8,6.2,0.496,DAL,12.6,-0.3,0.6,.035,0.481
88,2.1,.507,4.1,0.8,0.326,2.6,0.387,2.2,27.4,29,0.0,0.0,-0.3,-0.7,1.1,9.3,0.2,2.9,0.437,6.6,0.9,0.941,0.9,0.143,18,0,13.4,0.4,0.1,0.4,0.2,16.0,1.0,7.5,Trey Burke,PG,81.0,0.4,1.7,0.8,10.0,1.2,4.8,0.534,DAL,26.0,0.1,0.5,.095,0.5
89,1.7,.384,4.5,1.9,0.408,4.7,0.51,2.4,13.8,30,0.3,0.9,0.8,0.9,3.7,14.8,1.1,3.7,0.396,9.2,2.6,0.808,3.2,0.342,38,14,27.3,0.0,0.5,2.1,1.7,14.9,2.3,11.8,Alec Burks,SG,82.0,1.2,2.3,0.9,8.0,4.2,8.4,0.555,NYK,18.8,0.7,2.8,.130,0.5
90,0.3,.357,0.7,0.4,0.333,1.1,0.6,0.5,17.0,21,0.3,6.2,-2.0,2.5,0.6,15.0,0.1,0.6,0.343,1.8,0.2,0.571,0.4,0.2,19,0,4.3,-4.4,0.0,0.0,-0.1,8.7,0.8,1.8,Jared Butler,SG,83.0,0.2,1.8,0.4,17.4,0.6,7.9,0.46,UTA,24.2,0.0,0.0,.004,0.443
91,7.3,.535,13.7,0.5,0.25,1.9,0.122,5.4,27.4,32,0.4,1.3,8.8,2.5,4.0,13.2,1.1,7.8,0.5,15.7,7.0,0.871,8.1,0.517,23,23,33.8,6.3,1.9,6.2,3.2,27.1,1.3,23.2,Jimmy Butler,SF,84.0,2.0,2.9,2.0,9.2,5.9,9.7,0.603,MIA,27.7,2.1,4.4,.271,0.515
93,2.0,.457,4.3,2.1,0.381,5.5,0.562,1.7,8.2,28,0.4,1.2,-1.0,0.4,3.2,11.3,0.9,4.1,0.414,9.9,1.1,0.864,1.3,0.128,35,35,29.8,-1.3,0.5,1.9,0.2,11.4,1.9,11.4,Kentavious Caldwell-Pope,SG,86.0,1.3,2.1,1.3,11.2,3.7,6.7,0.546,WAS,17.5,0.3,1.1,.050,0.522
94,1.0,.472,2.1,1.3,0.358,3.5,0.631,3.8,24.0,30,0.5,2.0,0.0,1.2,1.7,8.6,0.9,2.2,0.4,5.6,1.1,0.813,1.4,0.246,35,4,21.8,-1.2,0.3,1.8,0.8,13.1,2.2,6.8,Facundo Campazzo,PG,87.0,1.2,2.7,1.2,16.6,2.1,5.2,0.553,DEN,15.1,0.4,1.7,.108,0.513
95,1.1,.556,1.9,0.5,0.583,0.9,0.308,0.9,12.5,24,0.2,1.8,-0.9,-0.8,1.2,12.3,0.1,1.6,0.564,2.8,0.6,0.75,0.9,0.308,14,1,10.9,-0.2,0.4,4.4,0.3,14.4,0.9,4.3,Vlatko Cancar,PF,88.0,0.1,0.7,0.6,15.3,1.6,8.4,0.678,DEN,15.3,0.0,0.4,.130,0.654
96,5.3,.576,9.2,0.0,0.0,0.0,0.003,1.5,7.4,27,1.5,4.7,1.6,-0.4,8.9,32.2,1.3,5.3,0.574,9.3,1.3,0.478,2.6,0.284,35,35,29.9,2.1,4.2,15.3,2.8,21.8,2.5,11.9,Clint Capela,C,89.0,0.8,1.3,0.6,5.4,13.1,23.8,0.571,ATL,16.1,1.0,4.1,.190,0.574
98,0.1,.211,0.6,0.7,0.301,2.4,0.793,1.0,11.0,26,0.3,2.0,-4.4,0.1,1.4,11.8,0.4,0.9,0.283,3.1,0.1,0.75,0.1,0.043,30,1,11.7,-4.5,0.2,1.9,-0.4,5.3,1.0,2.6,Jevon Carter,PG,91.0,0.3,1.4,0.5,13.0,1.6,7.1,0.411,BRK,13.3,-0.2,0.0,.001,0.402
99,3.7,.583,6.4,1.2,0.331,3.8,0.372,2.7,15.2,22,0.6,2.0,1.5,0.4,8.1,29.6,1.1,4.9,0.489,10.1,2.0,0.723,2.7,0.27,37,37,29.4,1.1,2.2,7.8,1.7,17.7,2.8,13.1,Wendell Carter Jr.,C,92.0,0.7,1.2,1.6,12.5,10.3,18.7,0.58,ORL,19.1,1.0,2.8,.125,0.551
100,1.7,.523,3.3,1.1,0.364,3.0,0.472,4.0,18.7,27,0.3,1.1,1.8,2.9,2.8,10.8,1.1,2.8,0.448,6.3,1.7,0.83,2.0,0.325,26,9,28.0,-1.0,1.0,3.8,1.0,14.4,2.5,8.4,Alex Caruso,SG,93.0,2.0,3.5,1.5,17.3,3.7,7.3,0.585,CHI,13.6,0.7,2.1,.139,0.534
101,0.8,.455,1.8,0.1,0.5,0.1,0.057,0.5,7.1,28,0.2,1.6,-3.3,0.6,1.4,15.9,0.2,0.9,0.457,1.9,0.1,0.5,0.1,0.057,18,2,9.8,-3.9,0.7,7.9,0.0,8.6,0.9,1.9,Willie Cauley-Stein,C,94.0,0.3,1.7,0.4,16.3,2.1,11.8,0.474,DAL,10.9,-0.1,0.2,.062,0.471
103,0.9,.600,1.6,0.3,0.385,0.7,0.302,0.2,4.0,20,0.2,2.0,-0.8,-1.5,0.6,8.4,0.1,1.2,0.535,2.3,0.5,1.0,0.5,0.209,19,0,7.8,0.7,1.0,13.2,0.5,17.7,0.9,3.2,Justin Champagnie,SF,96.0,0.2,1.0,0.1,4.1,1.6,10.9,0.639,TOR,14.1,0.0,0.6,.190,0.593
104,0.2,.158,1.0,0.6,0.344,1.7,0.627,1.7,20.3,26,0.0,0.0,-5.6,-0.1,0.8,8.0,0.3,0.7,0.275,2.7,0.1,1.0,0.1,0.02,19,1,11.1,-5.6,0.4,4.3,-0.3,4.5,1.1,2.1,Chris Chiozza,PG,97.0,0.4,1.8,0.9,24.8,1.3,6.2,0.389,GSW,14.1,-0.2,0.0,.009,0.382
106,1.7,.525,3.3,0.7,0.339,2.0,0.38,1.7,17.1,20,0.1,0.6,-3.5,-1.9,1.2,8.8,0.2,2.4,0.454,5.3,1.1,0.829,1.3,0.252,31,2,15.3,-1.6,0.6,4.2,0.1,12.6,1.1,6.5,Josh Christopher,SG,99.0,0.8,2.4,1.4,19.2,1.8,6.5,0.561,HOU,20.1,-0.2,0.3,.027,0.518
109,3.8,.688,5.5,0.1,0.143,0.5,0.089,1.3,12.3,25,0.9,5.1,3.1,0.3,3.1,19.8,0.5,3.9,0.639,6.1,0.9,0.649,1.4,0.234,26,0,17.0,2.8,1.7,10.1,1.5,23.2,1.7,8.8,Brandon Clarke,PF,101.0,0.3,0.9,0.5,7.4,4.7,14.8,0.654,MEM,17.8,0.6,2.1,.226,0.646
110,2.9,.509,5.8,2.6,0.313,8.2,0.585,2.3,13.6,29,0.2,0.7,-1.2,-1.3,2.7,10.9,1.0,5.5,0.394,13.9,1.5,0.789,1.9,0.134,38,0,25.6,0.1,0.7,3.3,0.5,14.0,1.8,15.0,Jordan Clarkson,SG,102.0,0.7,1.3,1.5,9.2,3.4,7.2,0.509,UTA,27.3,0.2,1.5,.072,0.486
111,3.9,.660,5.9,0.0,0.0,0.0,0.0,0.9,6.4,22,1.3,5.2,0.4,0.7,3.6,16.7,0.5,3.9,0.66,5.9,1.2,0.606,1.9,0.33,17,11,21.8,-0.3,1.6,8.1,0.9,18.1,2.5,8.9,Nic Claxton,C,103.0,0.6,1.3,0.7,9.5,5.2,12.6,0.664,BRK,14.8,0.2,1.4,.183,0.66
112,0.7,.514,1.3,0.8,0.349,2.4,0.643,1.0,8.3,24,0.2,1.2,-0.3,0.5,2.3,13.8,0.5,1.5,0.408,3.8,1.3,0.868,1.5,0.388,26,4,16.8,-0.8,0.3,1.7,0.7,11.3,1.0,5.2,Amir Coffey,SG,104.0,0.3,0.9,0.3,5.8,2.5,8.0,0.588,LAC,12.2,0.2,1.1,.125,0.52
113,5.3,.594,8.8,1.4,0.427,3.2,0.267,2.1,9.9,24,1.2,3.4,3.0,0.1,6.1,20.3,0.7,6.6,0.549,12.1,3.0,0.793,3.8,0.313,32,32,32.6,2.9,1.8,6.1,3.2,21.1,3.0,17.6,John Collins,PF,105.0,0.7,1.1,1.2,7.8,7.9,13.2,0.642,ATL,19.9,1.3,4.0,.184,0.606
115,2.6,.503,5.1,2.5,0.431,5.7,0.527,5.3,27.5,34,0.3,0.9,4.2,0.6,2.4,8.6,1.0,5.1,0.465,10.9,1.6,0.815,1.9,0.176,34,34,28.3,3.6,0.5,2.1,2.9,18.8,1.8,14.1,Mike Conley,PG,107.0,1.1,1.9,1.6,11.9,2.9,5.5,0.603,UTA,20.2,1.5,3.9,.197,0.578
116,1.6,.674,2.4,2.4,0.403,6.0,0.717,1.4,7.1,29,0.3,1.2,1.7,0.4,3.9,14.4,1.2,4.0,0.48,8.3,0.7,0.788,0.8,0.102,39,15,28.3,1.3,0.7,2.8,2.1,14.7,1.3,11.1,Pat Connaughton,SG,108.0,1.0,1.7,0.7,7.6,4.7,8.7,0.636,MIL,14.3,1.0,3.3,.144,0.625
119,0.3,.571,0.5,0.1,0.125,0.6,0.533,0.2,11.3,26,0.1,2.5,-8.9,-2.9,0.5,20.2,0.0,0.4,0.333,1.2,0.2,0.75,0.3,0.267,13,0,2.9,-6.0,0.5,20.7,-0.1,10.2,0.5,1.1,Petr Cornelie,PF,111.0,0.1,1.3,0.3,19.3,1.1,20.4,0.418,DEN,24.3,-0.1,0.0,-0.011,0.367
120,2.5,.600,4.1,0.8,0.271,2.8,0.407,1.1,9.6,31,0.5,2.8,0.7,0.9,4.4,26.8,0.6,3.2,0.466,6.9,1.8,0.816,2.2,0.322,17,5,16.9,-0.1,1.4,8.9,0.5,19.8,2.7,9.1,DeMarcus Cousins,C,112.0,0.9,2.7,0.9,10.6,5.8,18.0,0.572,MIL,22.5,0.2,1.1,.184,0.521
121,1.0,.557,1.8,1.5,0.327,4.6,0.719,1.2,5.9,31,1.1,3.9,-1.4,1.0,4.4,18.1,0.7,2.5,0.392,6.4,0.2,1.0,0.2,0.032,34,26,27.6,-2.4,0.7,2.7,-0.1,9.6,2.4,6.7,Robert Covington,PF,113.0,1.3,2.2,1.0,13.4,5.1,10.2,0.518,POR,11.8,0.1,0.7,.033,0.509
122,1.5,.650,2.3,0.6,0.296,2.0,0.47,1.0,8.7,31,0.3,1.5,-0.8,-0.1,2.2,15.0,0.4,2.1,0.483,4.3,0.7,0.828,0.8,0.192,35,1,16.3,-0.8,1.2,8.3,0.9,13.1,1.7,5.5,Torrey Craig,SF,114.0,0.4,1.1,0.7,12.3,3.4,11.7,0.583,IND,14.3,0.2,1.3,.108,0.553
123,1.4,.530,2.6,1.8,0.343,5.4,0.675,1.4,6.3,31,0.5,1.6,0.2,1.8,4.3,15.4,1.5,3.2,0.404,8.0,1.0,0.8,1.3,0.157,32,32,28.1,-1.7,0.4,1.4,0.3,10.2,2.4,9.3,Jae Crowder,PF,115.0,1.1,1.9,0.9,9.9,4.6,8.6,0.545,PHO,14.4,0.5,1.9,.099,0.52
124,1.5,.575,2.7,0.3,0.263,1.3,0.322,1.1,15.9,22,0.1,0.6,-1.0,0.9,1.5,15.5,0.2,1.9,0.475,3.9,0.4,0.5,0.8,0.203,15,0,10.3,-1.9,0.3,2.7,0.2,15.5,0.9,4.5,Jarrett Culver,SG,116.0,0.6,2.8,0.3,5.9,1.7,8.9,0.521,MEM,18.4,0.0,0.4,.126,0.517
126,3.5,.446,7.9,2.2,0.318,7.0,0.468,5.4,28.8,20,0.6,1.7,-2.0,-0.3,5.0,17.9,0.9,5.8,0.386,14.9,1.6,0.849,1.9,0.127,28,28,32.3,-1.7,0.9,2.9,-1.3,11.8,2.8,15.3,Cade Cunningham,PG,118.0,1.3,2.0,3.8,19.3,6.0,10.0,0.487,DET,25.8,0.0,-0.5,-0.025,0.46
127,3.9,.595,6.5,2.2,0.412,5.4,0.453,3.8,17.2,31,0.1,0.4,-0.5,-1.2,2.8,8.7,0.6,6.1,0.512,11.8,1.8,0.873,2.1,0.177,34,34,34.7,0.7,0.4,1.4,2.2,15.4,2.3,16.1,Seth Curry,SG,119.0,0.8,1.1,1.9,12.7,3.2,5.1,0.634,PHI,19.0,0.5,2.8,.113,0.606
128,3.5,.478,7.3,5.1,0.388,13.3,0.645,6.1,29.6,33,0.5,1.5,6.9,0.7,4.8,14.5,2.2,8.6,0.42,20.5,4.4,0.917,4.8,0.234,35,35,34.7,6.3,0.6,1.9,2.6,22.1,2.1,26.8,Stephen Curry,PG,120.0,1.4,2.0,3.4,13.0,5.3,8.4,0.591,GSW,32.7,2.7,4.8,.190,0.545
130,8.9,.566,15.8,0.4,0.179,2.1,0.116,2.9,13.8,28,2.0,5.2,2.9,0.6,7.1,20.8,1.5,9.3,0.521,17.9,4.3,0.727,6.0,0.334,27,27,35.4,2.3,2.7,8.4,1.8,23.4,2.3,23.3,Anthony Davis,C,121.0,1.2,1.6,2.2,9.8,9.9,14.8,0.569,LAL,27.5,1.2,3.2,.161,0.531
131,0.8,.750,1.0,0.0,0.0,0.0,0.0,0.1,1.2,32,0.6,5.5,-0.7,3.5,2.7,30.0,0.3,0.8,0.75,1.0,0.1,0.167,0.5,0.5,12,2,9.3,-4.2,0.4,5.0,0.0,10.3,1.4,1.6,Ed Davis,C,122.0,0.3,1.3,0.3,17.0,3.1,17.9,0.649,CLE,6.9,0.0,0.3,.131,0.75
132,2.1,.529,4.0,1.5,0.305,4.8,0.547,1.0,9.5,24,0.4,1.9,-2.1,-0.4,2.7,16.7,0.3,3.5,0.406,8.7,1.0,0.808,1.2,0.135,22,7,17.4,-1.7,0.4,2.2,-0.2,12.6,2.4,9.5,Terence Davis,SG,123.0,0.8,2.1,1.2,11.3,3.1,9.5,0.514,SAC,25.6,0.0,0.1,.017,0.49
134,2.2,.571,3.8,0.4,0.6,0.6,0.137,0.9,7.7,32,0.5,2.9,0.1,0.5,4.3,27.8,0.9,2.5,0.575,4.4,1.0,0.75,1.3,0.301,33,15,17.2,-0.4,1.8,11.8,1.2,16.9,2.2,6.5,Dewayne Dedmon,C,125.0,0.4,1.1,0.9,15.8,6.1,19.8,0.644,MIA,15.3,0.3,2.1,.175,0.616
137,8.9,.510,17.4,0.8,0.362,2.2,0.11,4.5,21.9,32,0.3,0.8,2.5,-0.7,4.3,13.4,1.0,9.7,0.494,19.6,6.8,0.858,7.9,0.406,32,32,35.3,3.3,0.7,2.3,3.3,23.4,2.3,26.9,DeMar DeRozan,PF,128.0,0.9,1.3,2.1,8.3,5.0,7.9,0.584,CHI,31.3,1.3,4.3,.184,0.514
139,4.0,.580,6.9,0.4,0.25,1.5,0.175,1.3,11.1,23,0.4,1.7,-0.3,0.8,3.2,16.9,0.7,4.4,0.522,8.4,1.4,0.612,2.2,0.267,30,13,21.7,-1.2,1.1,5.0,0.4,15.9,2.3,10.5,Hamidou Diallo,SG,130.0,1.2,2.7,1.2,11.1,4.3,10.6,0.56,DET,20.7,0.3,1.2,.085,0.544
140,0.7,.528,1.3,0.6,0.4,1.4,0.526,0.9,13.0,32,0.4,3.3,1.2,0.7,2.4,26.3,0.3,1.3,0.461,2.7,0.6,0.762,0.8,0.276,28,1,9.8,0.5,0.9,10.3,0.5,16.8,1.3,3.6,Gorgui Dieng,C,131.0,0.3,1.4,0.6,15.8,3.3,18.3,0.598,ATL,16.1,0.2,0.8,.141,0.566
141,2.8,.440,6.3,1.7,0.333,5.2,0.449,5.6,27.3,28,0.2,0.5,-0.6,-0.9,4.2,15.0,0.5,4.5,0.392,11.5,2.4,0.758,3.1,0.272,29,29,30.1,0.3,0.8,2.9,0.8,14.0,2.3,13.1,Spencer Dinwiddie,PG,132.0,0.4,0.7,1.7,11.8,5.0,9.1,0.509,WAS,21.6,0.3,1.3,.070,0.467
143,6.6,.523,12.6,2.6,0.318,8.1,0.392,8.8,47.0,22,0.5,1.2,5.4,1.1,7.3,23.6,1.3,9.2,0.443,20.7,4.0,0.713,5.7,0.274,24,24,34.8,4.3,0.7,2.2,0.4,21.5,2.5,25.0,Luka Doncic,PG,134.0,1.2,1.7,4.7,16.7,8.0,12.7,0.538,DAL,35.9,1.6,1.7,.096,0.505
144,3.2,.498,6.5,2.4,0.313,7.6,0.542,1.7,8.9,22,0.3,1.0,-2.8,-0.7,3.4,10.7,0.9,5.6,0.398,14.1,2.7,0.838,3.2,0.226,33,33,32.6,-2.1,0.7,2.1,0.1,11.9,2.9,16.3,Luguentz Dort,SF,135.0,1.0,1.5,1.7,9.7,4.1,6.3,0.525,OKC,22.8,-0.2,1.0,.044,0.483
145,1.8,.582,3.2,0.6,0.413,1.5,0.319,1.2,8.6,22,0.4,1.7,-2.5,-0.1,1.7,9.9,0.5,2.5,0.528,4.6,0.5,0.586,0.9,0.201,31,2,18.6,-2.4,0.4,2.5,0.3,10.1,1.6,6.1,Ayo Dosunmu,SG,136.0,0.4,1.0,0.9,15.6,2.1,6.2,0.6,CHI,14.2,-0.1,0.8,.068,0.594
151,1.2,.412,2.8,0.8,0.313,2.7,0.485,1.6,11.8,25,0.3,1.6,-2.3,0.7,2.7,15.8,0.4,2.0,0.364,5.5,0.6,0.769,0.7,0.131,18,0,18.9,-3.0,0.8,4.6,-0.1,9.2,1.8,5.4,PJ Dozier,SG,141.0,0.6,1.6,0.7,11.0,3.5,10.3,0.463,DEN,15.4,0.0,0.3,.042,0.439
153,2.7,.521,5.1,0.0,0.0,0.0,0.006,2.0,15.0,28,1.1,5.0,1.1,1.9,6.2,34.8,1.4,2.7,0.518,5.1,1.1,0.574,1.9,0.372,32,11,19.4,-0.8,3.0,17.4,0.7,20.1,2.4,6.4,Andre Drummond,C,143.0,1.1,2.8,1.6,21.1,9.3,26.2,0.537,PHI,17.6,0.5,2.1,.161,0.518
154,3.3,.502,6.5,1.8,0.353,5.2,0.446,2.2,11.4,24,0.1,0.4,-2.2,-0.8,3.4,13.0,0.7,5.1,0.436,11.8,1.1,0.712,1.6,0.134,33,25,28.9,-1.4,0.6,2.3,0.0,12.1,1.7,13.2,Chris Duarte,SG,144.0,1.0,1.7,1.7,12.2,4.0,7.7,0.531,IND,21.3,0.0,0.8,.038,0.514
156,9.0,.566,15.9,1.9,0.371,5.1,0.244,5.7,27.9,33,0.9,2.1,6.9,0.6,7.2,19.8,1.4,10.9,0.518,21.0,6.3,0.882,7.1,0.337,31,31,37.1,6.3,0.5,1.5,3.5,25.6,1.8,30.0,Kevin Durant,PF,146.0,0.7,0.9,3.2,11.7,7.7,11.0,0.62,BRK,32.0,2.6,4.9,.205,0.564
158,5.1,.508,10.0,3.1,0.36,8.7,0.466,3.5,16.8,20,0.7,1.9,1.7,0.0,4.4,13.6,1.4,8.2,0.439,18.7,2.8,0.781,3.6,0.191,32,32,35.6,1.7,1.2,3.3,0.5,16.5,2.4,22.3,Anthony Edwards,SG,148.0,1.6,2.2,3.3,14.2,5.6,8.2,0.551,MIN,27.7,1.1,1.8,.077,0.523
161,0.6,.526,1.1,0.4,0.348,1.3,0.548,0.4,7.4,21,0.0,0.0,-4.4,-1.9,1.3,18.7,0.0,1.0,0.429,2.3,0.4,1.0,0.4,0.167,18,0,7.7,-2.5,0.4,6.3,0.1,10.5,1.2,2.8,CJ Elleby,SF,151.0,0.2,1.1,0.4,13.4,1.7,12.4,0.566,POR,16.3,-0.1,0.1,.050,0.524
162,0.2,.500,0.4,1.9,0.377,5.1,0.92,0.8,5.2,34,0.1,0.3,-2.1,-0.6,1.5,7.2,0.3,2.1,0.387,5.6,0.1,0.8,0.2,0.033,27,8,21.1,-1.5,0.3,1.3,0.3,8.2,1.0,6.4,Wayne Ellington,SG,152.0,0.5,1.2,0.5,7.9,1.7,4.4,0.565,LAL,12.4,-0.1,0.6,.054,0.56
163,7.2,.497,14.4,1.3,0.393,3.4,0.192,4.2,22.8,27,1.4,3.9,7.6,1.6,8.9,29.1,1.4,8.5,0.477,17.8,8.3,0.809,10.3,0.577,26,26,33.2,6.0,1.8,6.1,2.7,29.0,2.5,26.7,Joel Embiid,C,153.0,1.2,1.8,2.8,11.2,10.7,17.7,0.597,PHI,34.2,2.1,4.1,.229,0.515
