,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
534,1.7,.432,3.9,0.3,0.273,1.2,0.229,3.3,27.3,24,0.4,2.3,-1.6,0.9,1.8,12.1,0.3,2.0,0.396,5.1,1.1,0.667,1.6,0.313,19,3,17.2,-2.5,0.5,3.3,-0.2,12.3,1.3,5.4,Dennis Smith Jr.,PG,490.0,1.3,3.6,1.7,22.7,2.4,7.6,0.467,POR,18.8,0.0,0.0,.007,0.427
535,1.8,.397,4.5,0.3,0.444,0.7,0.129,2.8,26.0,33,0.3,1.7,-5.6,-1.6,1.3,9.8,0.1,2.1,0.403,5.1,0.3,0.563,0.6,0.115,27,1,14.4,-4.0,0.1,1.1,-0.3,9.4,1.0,4.8,Ish Smith,PG,491.0,0.6,1.8,1.1,17.0,1.4,5.3,0.442,CHO,19.2,-0.4,-0.2,-0.030,0.432
536,2.5,.597,4.2,0.4,0.25,1.4,0.25,0.2,2.4,21,0.6,3.6,0.9,-0.7,3.2,22.9,0.4,2.9,0.51,5.6,1.7,0.853,2.0,0.354,17,4,14.2,1.6,2.2,17.0,0.7,21.8,1.5,7.8,Jalen Smith,PF,492.0,0.2,0.8,0.6,9.0,5.4,20.0,0.599,PHO,21.7,0.2,1.1,.226,0.542
538,0.2,.333,0.5,0.6,0.364,1.7,0.786,0.6,6.5,30,0.2,1.2,-4.6,-1.1,1.3,11.4,0.0,0.8,0.357,2.2,0.1,1.0,0.1,0.054,26,7,12.6,-3.4,0.3,2.3,0.1,5.6,1.2,2.3,Tony Snell,SG,494.0,0.2,0.7,0.3,10.9,1.5,6.8,0.515,POR,8.6,-0.2,0.1,.014,0.5
545,1.1,.441,2.5,0.4,0.323,1.3,0.344,0.5,6.0,24,0.2,1.4,-3.9,-0.1,1.3,10.6,0.4,1.5,0.4,3.8,0.4,0.625,0.7,0.178,24,2,12.8,-3.8,0.7,6.2,0.0,7.9,1.3,3.8,Lamar Stevens,PF,499.0,0.3,1.0,0.4,9.3,2.0,8.5,0.474,CLE,15.3,-0.1,0.3,.054,0.456
546,3.3,.559,5.9,0.1,0.154,0.4,0.071,1.1,6.6,20,1.1,4.0,-2.9,-0.2,5.7,25.3,0.8,3.3,0.53,6.3,1.1,0.681,1.6,0.257,29,29,25.8,-2.7,2.7,10.6,0.7,13.7,2.8,7.9,Isaiah Stewart,C,500.0,0.4,0.8,1.2,14.3,8.4,17.5,0.56,DET,13.6,-0.2,1.4,.093,0.536
548,1.4,.606,2.4,2.6,0.414,6.2,0.725,1.3,8.3,25,0.1,0.3,1.7,-0.6,3.1,14.9,0.6,4.0,0.467,8.6,0.9,0.758,1.2,0.138,28,4,23.4,2.3,0.4,1.7,1.4,15.0,1.5,11.5,Max Strus,SF,501.0,0.4,0.8,0.6,6.6,3.5,8.3,0.631,MIA,18.4,0.6,1.9,.142,0.617
549,2.9,.394,7.4,1.2,0.255,4.9,0.397,3.6,20.5,20,0.4,1.4,-6.0,-1.0,2.6,10.1,0.3,4.1,0.339,12.2,2.8,0.763,3.6,0.296,21,21,27.8,-4.9,0.8,2.9,-1.5,7.7,2.8,12.3,Jalen Suggs,PG,502.0,1.1,2.0,3.2,18.7,3.4,6.5,0.444,ORL,26.5,-0.6,-1.1,-0.093,0.389
552,4.1,.562,7.2,0.8,0.29,2.7,0.272,3.0,17.6,26,0.6,2.0,-1.6,-0.8,4.0,15.9,0.5,4.8,0.488,9.9,2.0,0.714,2.8,0.286,37,36,27.5,-0.8,1.8,7.0,1.1,14.9,3.6,12.5,Jae'Sean Tate,SF,505.0,0.9,1.6,1.9,14.5,5.8,11.5,0.559,HOU,20.2,0.1,1.6,.076,0.527
553,6.1,.473,12.9,2.8,0.333,8.5,0.397,3.9,18.9,23,0.8,2.1,2.8,0.0,7.4,21.7,1.7,8.9,0.418,21.4,5.0,0.833,6.0,0.28,35,35,36.8,2.8,1.2,3.4,1.3,19.7,2.5,25.7,Jayson Tatum,SF,506.0,1.0,1.4,2.7,10.2,8.5,12.4,0.535,BOS,31.8,1.6,3.0,.111,0.484
555,0.9,.465,1.9,1.3,0.379,3.4,0.636,1.2,8.9,35,0.5,2.2,-1.6,0.1,2.2,12.5,0.5,2.2,0.41,5.3,0.6,0.724,0.8,0.149,37,11,19.4,-1.7,0.7,3.6,0.3,10.8,1.6,6.2,Garrett Temple,SG,508.0,0.8,2.1,0.9,13.3,2.9,7.9,0.549,NOP,14.2,0.1,0.9,.058,0.531
559,2.5,.611,4.1,0.8,0.268,3.1,0.428,0.8,5.1,29,0.7,2.6,-3.9,-1.4,4.0,18.6,0.2,3.3,0.464,7.2,1.1,0.694,1.6,0.217,23,20,23.5,-2.5,1.3,6.1,0.1,10.7,2.4,8.6,Daniel Theis,C,512.0,0.4,0.8,1.3,13.8,5.3,12.4,0.544,HOU,16.6,-0.3,0.3,.026,0.521
561,1.9,.495,3.8,0.5,0.224,2.3,0.379,1.2,11.6,20,0.2,0.9,-3.7,-0.9,2.0,13.3,0.4,2.4,0.392,6.1,0.7,0.81,0.8,0.137,25,1,15.0,-2.8,0.2,1.2,-0.2,9.9,0.5,6.0,Cam Thomas,SG,514.0,0.4,1.2,0.5,6.9,2.1,7.5,0.462,BRK,20.2,-0.1,0.2,.020,0.435
565,0.4,.313,1.2,0.7,0.346,2.0,0.619,0.3,3.9,27,0.1,0.6,-4.4,-1.3,0.8,8.9,0.1,1.1,0.333,3.2,0.2,1.0,0.2,0.048,13,0,10.4,-3.1,0.1,0.8,0.0,6.9,0.4,3.0,Matt Thomas,SG,516.0,0.2,1.1,0.0,0.0,0.9,4.9,0.455,CHI,14.0,-0.1,0.1,.027,0.44
566,2.6,.510,5.2,0.0,1.0,0.0,0.007,0.6,6.4,30,0.4,1.9,-3.3,-2.1,3.1,21.4,0.3,2.7,0.514,5.2,1.0,0.519,1.9,0.37,28,3,15.3,-1.3,2.5,17.2,0.4,16.0,1.8,6.4,Tristan Thompson,PF,517.0,0.4,1.1,1.0,14.2,5.5,19.3,0.527,SAC,19.7,-0.2,0.7,.081,0.517
568,1.6,.672,2.4,0.7,0.275,2.5,0.507,1.1,5.8,24,1.2,4.2,0.1,3.0,1.8,7.7,1.0,2.3,0.471,4.9,0.3,0.875,0.3,0.059,28,13,25.8,-2.9,0.6,2.5,0.1,10.2,2.5,5.5,Matisse Thybulle,SG,519.0,1.8,3.4,0.8,14.2,2.4,5.1,0.552,PHI,10.2,0.4,1.1,.072,0.54
569,0.5,.394,1.3,0.7,0.3,2.4,0.645,0.6,5.4,23,0.5,3.7,-2.9,0.7,1.2,9.9,0.4,1.2,0.333,3.7,0.2,0.625,0.3,0.086,25,2,13.2,-3.6,0.8,6.0,0.0,8.9,1.6,3.4,Killian Tillie,C,520.0,0.7,2.6,0.3,7.7,2.0,7.9,0.44,MEM,13.2,-0.1,0.4,.063,0.43
571,1.7,.516,3.2,0.2,0.194,1.1,0.25,1.2,11.7,23,0.5,3.1,2.1,2.5,1.9,14.2,0.7,1.9,0.435,4.3,1.0,0.7,1.4,0.323,29,0,14.3,-0.3,1.4,10.0,0.4,16.5,1.2,4.9,Xavier Tillman Sr.,PF,521.0,1.2,4.2,0.7,12.9,3.2,12.1,0.501,MEM,16.4,0.4,1.1,.130,0.46
573,2.8,.658,4.3,0.4,0.211,1.7,0.281,1.1,11.5,23,0.5,3.1,1.3,0.2,2.8,18.3,0.6,3.2,0.532,6.0,1.6,0.786,2.1,0.345,34,2,16.6,1.2,1.1,7.0,1.2,18.9,1.5,8.3,Obi Toppin,PF,523.0,0.4,1.1,0.9,11.0,3.9,12.6,0.605,NYK,20.7,0.5,1.8,.157,0.562
574,1.6,.634,2.6,0.3,0.244,1.3,0.326,2.2,18.3,28,0.4,2.1,0.5,2.6,2.3,14.9,1.2,1.9,0.507,3.8,0.7,0.61,1.1,0.297,36,3,16.4,-2.2,0.6,4.3,0.4,12.1,1.6,4.9,Juan Toscano-Anderson,SF,524.0,0.8,2.3,1.1,20.8,2.9,9.8,0.564,GSW,14.5,0.4,1.5,.123,0.547
575,6.2,.550,11.3,2.4,0.422,5.6,0.331,3.5,18.1,26,1.2,3.4,5.1,0.7,6.4,20.5,1.4,8.5,0.508,16.8,4.8,0.827,5.8,0.343,31,31,34.5,4.5,2.9,8.6,2.6,23.0,3.8,24.2,Karl-Anthony Towns,C,525.0,1.0,1.4,3.6,15.6,9.4,14.3,0.625,MIN,27.8,1.9,4.1,.182,0.578
576,3.4,.476,7.2,2.7,0.372,7.3,0.503,2.1,9.6,23,0.3,0.8,0.5,0.4,2.5,8.4,1.0,6.2,0.424,14.5,1.5,0.845,1.8,0.125,32,31,34.0,0.0,0.4,1.2,1.5,14.9,2.2,16.6,Gary Trent Jr.,SG,526.0,2.0,2.9,0.9,5.6,2.9,4.7,0.54,TOR,20.4,0.7,2.5,.108,0.517
577,1.7,.533,3.2,1.3,0.462,2.8,0.47,2.2,10.9,36,0.3,1.3,1.2,1.0,3.9,15.4,1.0,3.0,0.5,6.0,0.7,0.697,1.0,0.167,33,32,28.5,0.2,1.7,6.6,1.6,12.5,2.3,8.0,P.J. Tucker,PF,527.0,0.7,1.2,1.0,13.1,5.6,11.0,0.621,MIA,11.5,0.8,2.6,.135,0.609
579,3.3,.670,4.9,1.6,0.359,4.5,0.479,1.1,5.4,25,2.8,8.2,2.3,1.5,5.8,21.4,1.7,4.9,0.521,9.3,1.9,0.758,2.5,0.268,38,38,29.8,0.8,1.5,5.7,2.1,18.8,2.8,13.2,Myles Turner,C,529.0,0.6,1.0,1.3,11.0,7.3,13.5,0.634,IND,17.2,1.2,3.8,.160,0.607
580,6.1,.539,11.3,1.0,0.43,2.4,0.174,2.4,13.3,29,0.9,2.8,2.0,-0.7,8.4,29.4,1.1,7.1,0.52,13.7,3.3,0.825,4.0,0.289,36,36,31.6,2.7,3.6,11.8,2.5,21.8,3.2,18.6,Jonas Valanciunas,C,530.0,0.6,0.9,2.4,13.4,11.9,20.4,0.601,NOP,24.1,1.1,3.6,.151,0.558
581,0.2,.278,0.8,0.8,0.409,2.0,0.71,0.5,7.5,28,0.0,0.0,-2.2,0.3,1.3,14.9,0.3,1.0,0.371,2.8,0.0,0.0,0.0,0.0,22,0,9.3,-2.5,0.4,4.9,0.0,8.6,0.8,2.9,Denzel Valentine,SG,531.0,0.3,1.7,0.5,13.9,1.7,10.1,0.516,CLE,15.4,0.0,0.3,.061,0.516
582,2.5,.583,4.2,0.1,0.2,0.3,0.067,1.2,6.7,22,0.8,3.1,0.7,1.9,5.7,24.8,1.5,2.5,0.557,4.5,0.9,0.698,1.3,0.289,33,26,25.2,-1.2,3.1,12.4,1.2,15.4,2.7,6.0,Jarred Vanderbilt,PF,532.0,1.5,2.9,1.1,17.2,8.8,18.3,0.59,MIN,10.2,0.6,2.7,.156,0.564
583,3.7,.476,7.8,3.7,0.408,9.0,0.536,6.7,27.8,27,0.6,1.5,4.7,0.1,4.1,12.4,1.1,7.4,0.44,16.8,2.8,0.88,3.1,0.186,32,32,37.5,4.5,0.8,2.1,2.9,19.7,2.5,21.3,Fred VanVleet,PG,533.0,1.6,2.2,2.7,13.0,4.9,7.0,0.583,TOR,23.8,2.0,3.9,.157,0.549
584,2.7,.555,4.8,1.7,0.351,4.8,0.498,1.5,8.1,21,0.7,2.5,0.0,0.1,3.2,13.4,0.9,4.4,0.453,9.7,0.7,0.733,0.9,0.097,32,4,25.0,-0.1,0.7,2.8,0.6,13.9,1.9,11.1,Devin Vassell,SF,534.0,1.0,1.9,0.8,7.5,3.9,8.1,0.552,SAS,18.4,0.4,1.5,.090,0.54
585,1.5,.527,2.8,1.6,0.374,4.3,0.604,2.9,20.1,25,0.2,1.1,-1.1,0.1,1.6,8.3,0.7,3.1,0.435,7.2,0.8,0.774,1.0,0.135,32,10,21.8,-1.2,0.5,2.4,0.6,12.2,2.2,8.6,Gabe Vincent,PG,535.0,0.8,1.9,1.5,16.5,2.1,5.4,0.566,MIA,18.5,0.2,1.3,.091,0.548
586,4.8,.466,10.4,1.8,0.353,5.0,0.324,3.3,15.1,31,1.2,3.1,0.7,0.5,9.8,32.4,1.6,6.6,0.429,15.3,1.0,0.667,1.5,0.098,28,28,33.3,0.3,1.8,6.0,0.3,17.0,2.4,15.9,Nikola Vucevic,C,536.0,1.0,1.4,1.6,9.1,11.6,19.2,0.497,CHI,23.2,0.7,1.9,.097,0.486
587,1.0,.609,1.6,0.9,0.329,2.8,0.632,1.3,8.4,25,0.1,0.3,-0.8,1.1,2.7,13.9,0.7,1.9,0.432,4.5,0.4,0.769,0.5,0.104,28,16,20.3,-1.9,0.8,4.3,0.6,9.9,1.6,5.1,Dean Wade,PF,537.0,0.5,1.3,0.4,7.1,3.5,9.3,0.551,CLE,10.8,0.2,1.4,.116,0.536
588,4.6,.485,9.5,1.3,0.369,3.6,0.276,2.6,13.8,20,0.5,1.4,-0.8,-0.6,3.5,11.5,0.7,5.9,0.453,13.1,2.7,0.839,3.2,0.243,39,39,32.3,-0.2,1.2,4.0,1.3,15.0,2.3,15.8,Franz Wagner,SF,538.0,1.1,1.6,1.6,9.8,4.7,7.7,0.547,ORL,21.5,0.4,1.9,.073,0.504
589,1.1,.571,1.9,1.0,0.341,2.9,0.603,0.8,11.7,24,0.2,1.6,-1.1,-1.2,1.9,16.9,0.2,2.1,0.433,4.9,1.4,0.784,1.8,0.362,29,0,11.8,0.1,0.6,5.0,0.5,15.1,1.9,6.6,Moritz Wagner,C,539.0,0.2,0.7,0.7,11.4,2.4,10.9,0.584,ORL,23.3,0.1,0.7,.094,0.535
590,0.4,.429,0.9,0.3,0.2,1.3,0.588,0.5,10.2,27,0.1,0.9,-6.6,-0.1,0.6,9.2,0.1,0.7,0.294,2.3,0.1,0.5,0.3,0.118,15,0,6.7,-6.5,0.7,11.8,-0.2,4.7,1.4,1.7,Ish Wainright,PF,540.0,0.3,1.9,0.4,14.4,1.3,10.5,0.364,PHO,17.9,-0.1,0.0,-0.003,0.353
592,2.3,.426,5.4,2.4,0.403,6.0,0.527,3.6,21.9,31,0.2,0.7,1.6,-0.3,3.1,12.3,0.5,4.7,0.414,11.4,1.8,0.84,2.1,0.183,24,24,27.3,1.9,0.5,1.8,1.0,16.2,1.2,13.6,Kemba Walker,PG,541.0,0.8,1.5,1.4,10.1,3.5,7.0,0.553,NYK,22.2,0.6,1.6,.114,0.52
593,2.5,.488,5.2,1.6,0.312,5.2,0.5,2.4,14.7,23,0.2,0.9,-2.4,-1.4,2.6,12.2,0.6,4.1,0.4,10.3,1.4,0.865,1.6,0.153,33,3,22.5,-1.0,0.2,1.0,0.2,12.5,1.3,11.2,Lonnie Walker IV,SG,542.0,0.6,1.2,1.1,8.8,2.8,6.6,0.51,SAS,22.7,-0.1,0.7,.047,0.478
596,1.0,.400,2.6,0.2,0.235,0.7,0.221,2.4,23.1,32,0.3,1.6,-5.7,-0.5,1.4,11.4,0.2,1.2,0.364,3.3,1.0,0.92,1.1,0.325,23,2,13.9,-5.1,0.3,2.1,0.0,8.0,2.0,3.6,Brad Wanamaker,PG,545.0,0.3,1.1,1.0,20.7,1.7,6.7,0.472,TOT,15.1,-0.3,0.2,.025,0.39
600,1.8,.513,3.5,2.0,0.433,4.7,0.571,2.4,12.9,23,1.1,4.1,0.8,-0.5,4.0,17.6,0.3,3.9,0.467,8.3,1.3,0.7,1.8,0.22,22,3,25.0,1.3,1.3,5.4,0.9,16.3,2.3,11.0,P.J. Washington,PF,547.0,0.7,1.3,1.3,12.7,5.4,11.3,0.609,CHO,17.6,0.4,1.3,.109,0.591
601,1.4,.452,3.0,1.4,0.38,3.6,0.543,1.1,7.4,27,0.6,2.7,-1.9,-1.0,3.4,18.5,0.3,2.7,0.413,6.6,0.9,0.545,1.6,0.239,14,2,20.5,-0.9,0.9,4.7,0.2,12.0,1.7,7.6,Yuta Watanabe,SF,548.0,0.4,1.0,0.8,9.8,4.3,11.3,0.526,TOR,16.8,0.0,0.5,.076,0.516
605,0.8,.474,1.7,0.0,0.0,0.0,0.0,0.5,12.1,21,0.5,7.7,-3.4,-0.8,0.8,16.4,0.1,0.8,0.474,1.7,0.4,0.5,0.7,0.421,11,0,5.6,-2.6,0.4,7.0,0.0,14.5,0.5,2.0,Trendon Watford,SF,550.0,0.2,1.6,0.3,11.8,1.2,11.6,0.488,POR,18.0,0.0,0.1,.051,0.474
608,6.3,.495,12.8,1.1,0.3,3.6,0.219,8.1,35.4,33,0.3,0.7,-1.0,-0.7,6.7,19.1,1.6,7.4,0.452,16.4,3.6,0.654,5.6,0.34,39,39,35.8,-0.3,1.4,4.2,-0.1,15.9,3.1,19.5,Russell Westbrook,PG,553.0,1.2,1.6,4.6,19.8,8.1,11.9,0.519,LAL,28.1,0.3,1.5,.051,0.485
609,2.1,.500,4.2,1.8,0.357,4.9,0.538,2.4,13.9,21,0.3,1.1,-3.6,-1.6,2.4,10.9,0.3,3.9,0.423,9.2,1.2,0.75,1.6,0.179,17,6,24.3,-2.0,0.2,0.8,0.3,11.7,2.2,10.8,Coby White,PG,554.0,0.5,0.9,1.1,10.1,2.6,5.9,0.544,CHI,19.9,-0.2,0.6,.068,0.519
610,3.5,.524,6.6,1.5,0.294,5.2,0.441,5.5,24.3,27,0.9,2.6,1.7,0.6,3.0,10.2,1.1,5.0,0.423,11.9,2.9,0.869,3.3,0.277,37,37,30.5,1.1,0.5,1.7,1.7,16.5,2.2,14.5,Derrick White,SG,555.0,1.2,1.9,1.6,11.0,3.5,6.0,0.542,SAS,20.7,1.1,2.8,.121,0.488
611,3.1,.627,4.9,0.0,0.0,0.0,0.0,0.3,3.0,32,1.3,7.3,1.6,1.3,4.3,29.4,1.0,3.1,0.627,4.9,1.7,0.695,2.5,0.509,33,0,15.1,0.3,2.2,16.8,1.6,23.5,2.8,7.8,Hassan Whiteside,C,556.0,0.2,0.7,0.9,13.2,6.6,23.4,0.657,UTA,19.6,0.5,2.6,.252,0.627
613,1.8,.686,2.7,0.8,0.326,2.4,0.474,0.9,7.1,23,0.2,1.0,-2.8,0.4,2.4,11.9,0.4,2.6,0.515,5.1,1.0,0.679,1.5,0.289,19,10,20.9,-3.2,0.5,2.2,0.4,11.0,1.9,7.1,Aaron Wiggins,SG,558.0,0.6,1.4,0.8,12.1,2.9,7.0,0.613,OKC,13.6,-0.1,0.7,.089,0.593
614,4.8,.526,9.2,2.3,0.425,5.3,0.367,1.9,9.8,26,0.6,1.9,2.0,0.0,3.3,10.9,1.7,7.1,0.489,14.5,2.6,0.695,3.8,0.26,34,34,31.5,1.9,1.2,4.4,1.6,17.5,1.8,19.1,Andrew Wiggins,SF,559.0,1.0,1.5,1.6,9.3,4.5,7.8,0.59,GSW,24.6,1.1,3.3,.146,0.567
617,1.0,.625,1.6,1.4,0.426,3.4,0.673,1.0,6.3,23,0.6,2.5,-0.3,0.3,2.6,12.4,0.7,2.5,0.491,5.0,1.0,0.897,1.1,0.228,34,11,22.9,-0.6,0.8,3.5,1.3,12.2,2.1,7.4,Grant Williams,PF,561.0,0.5,1.0,0.8,13.0,3.4,7.9,0.67,BOS,12.2,0.3,2.0,.124,0.635
618,2.0,.500,3.9,0.8,0.384,2.1,0.353,1.9,14.1,27,0.1,0.7,-0.4,1.2,2.6,12.9,0.8,2.8,0.459,6.1,0.6,0.553,1.1,0.184,34,0,20.8,-1.7,1.3,6.3,0.6,13.4,1.7,7.0,Kenrich Williams,SF,562.0,1.0,2.3,0.8,11.1,3.9,9.6,0.534,OKC,15.4,0.3,1.4,.096,0.527
619,1.7,.397,4.3,0.6,0.304,2.1,0.326,1.5,15.0,35,0.1,0.5,-6.1,-2.2,1.3,9.7,0.1,2.3,0.366,6.4,1.2,0.846,1.4,0.227,27,0,14.4,-3.8,0.3,2.2,-0.3,10.3,1.0,6.5,Lou Williams,PG,563.0,0.6,1.9,0.9,11.7,1.6,6.0,0.465,ATL,24.1,-0.4,-0.2,-0.019,0.416
621,4.4,.744,5.9,0.0,0.0,0.0,0.0,1.7,9.3,24,2.1,6.7,3.9,1.7,5.1,19.2,1.4,4.4,0.744,5.9,1.0,0.625,1.6,0.273,30,30,28.8,2.2,3.8,14.1,2.7,21.7,2.0,9.7,Robert Williams,C,565.0,0.8,1.4,1.2,15.8,8.9,16.6,0.741,BOS,11.9,1.3,4.1,.226,0.744
622,1.1,.571,2.0,1.0,0.278,3.4,0.632,0.6,4.2,20,0.3,1.5,-5.6,-1.3,1.1,6.6,0.2,2.1,0.386,5.4,0.3,0.75,0.4,0.07,21,1,18.0,-4.3,0.2,1.4,-0.1,6.1,1.6,5.4,Ziaire Williams,SF,566.0,0.5,1.3,0.6,9.3,1.3,3.9,0.485,MEM,14.3,-0.3,0.1,.019,0.474
624,0.4,.500,0.8,0.6,0.382,1.5,0.654,0.9,11.2,25,0.1,0.7,-0.6,1.7,1.4,14.4,0.3,1.0,0.423,2.3,0.1,0.75,0.2,0.077,23,0,10.5,-2.2,0.5,5.1,0.2,9.2,1.1,2.6,Dylan Windler,SF,568.0,0.3,1.2,0.4,15.7,1.9,9.9,0.558,CLE,11.5,0.1,0.5,.101,0.548
625,1.4,.519,2.7,0.2,0.217,0.8,0.221,1.1,14.4,25,0.4,3.3,-2.2,1.8,2.4,22.3,0.7,1.6,0.452,3.5,0.3,0.471,0.6,0.163,30,1,11.1,-4.0,0.5,5.2,-0.4,11.9,1.0,3.6,Justise Winslow,SF,569.0,0.6,2.5,0.9,18.9,3.0,14.0,0.48,LAC,18.1,0.0,0.3,.045,0.476
627,4.7,.547,8.6,1.6,0.337,4.6,0.349,2.1,11.6,26,0.9,2.7,-0.1,-1.2,8.5,29.9,0.9,6.3,0.474,13.2,2.9,0.619,4.7,0.354,36,35,30.9,1.1,1.9,6.7,1.2,17.9,2.4,16.9,Christian Wood,C,571.0,0.7,1.0,1.8,10.7,10.4,18.4,0.556,HOU,23.5,0.5,2.1,.091,0.533
629,1.0,.443,2.2,0.5,0.425,1.3,0.364,2.4,17.5,29,0.2,1.1,1.2,1.1,2.2,13.2,0.3,1.5,0.436,3.4,0.7,0.846,0.8,0.236,32,4,17.7,0.2,0.8,5.2,0.9,13.4,0.7,4.2,Delon Wright,SG,573.0,0.8,2.3,0.7,15.3,3.0,9.2,0.556,ATL,11.1,0.5,1.2,.102,0.514
632,2.8,.586,4.8,0.0,0.0,0.1,0.026,2.4,24.4,33,0.3,1.6,2.9,1.7,2.0,14.5,0.4,2.8,0.57,5.0,0.3,0.444,0.8,0.158,23,0,14.0,1.2,1.5,10.9,0.6,19.6,1.4,6.0,Thaddeus Young,PF,576.0,0.9,3.0,1.0,15.9,3.4,12.7,0.566,SAS,19.0,0.4,1.0,.147,0.57
633,6.9,.502,13.8,2.8,0.381,7.4,0.35,9.5,48.1,23,0.1,0.2,4.9,-2.2,3.1,9.7,0.2,9.7,0.46,21.2,6.1,0.902,6.8,0.321,33,33,34.6,7.2,0.8,2.5,4.1,26.2,1.7,28.4,Trae Young,PG,577.0,0.9,1.3,4.0,14.2,3.9,6.1,0.588,ATL,35.4,2.0,4.3,.180,0.527
634,2.3,.496,4.7,0.0,0.143,0.2,0.047,0.7,8.0,23,0.5,4.1,-2.5,0.0,4.3,33.7,0.8,2.4,0.48,4.9,0.8,0.622,1.2,0.25,30,6,14.2,-2.5,1.8,13.9,0.2,16.3,1.6,5.5,Omer Yurtseven,C,578.0,0.4,1.5,0.9,13.7,6.0,23.8,0.505,MIA,19.8,-0.1,1.0,.118,0.483
635,1.8,.597,3.0,0.0,0.0,0.2,0.053,0.8,9.3,29,0.3,1.8,-1.9,-1.1,2.8,23.8,0.1,1.8,0.566,3.2,1.5,0.766,2.0,0.618,24,0,13.3,-0.8,1.8,14.7,0.9,17.5,2.1,5.1,Cody Zeller,C,579.0,0.3,1.1,0.7,15.0,4.6,19.1,0.631,POR,15.5,0.0,1.0,.154,0.566
636,3.6,.656,5.5,0.0,0.0,0.0,0.0,1.1,6.5,24,1.2,4.0,1.2,1.1,5.5,22.5,1.5,3.6,0.656,5.5,2.4,0.737,3.3,0.594,35,35,25.0,0.1,2.7,11.8,2.2,18.8,2.3,9.6,Ivica Zubac,C,580.0,0.5,1.1,1.4,16.5,8.2,17.3,0.694,LAC,14.5,0.7,3.7,.202,0.656
